Cancer,AUC,Normal,Tumor,num_gene
BLCA,0.840873984,28,407,3
BRCA,0.953827073,291,1099,9
COAD,0.994676543,348,288,6
ESCA,0.959200948,286,182,8
KICH,0.976071429,53,66,8
KIRC,0.959490566,100,530,9
KIRP,0.952986453,60,288,9
LIHC,0.909236111,160,369,9
LUAD,0.97875474,347,513,6
LUSC,0.989515475,338,498,9
PAAD,0.977042484,171,179,5
PRAD,0.914222874,151,495,8
READ,0.984200493,317,92,4
SKCM,0.997291694,557,468,9
STAD,0.969657375,211,413,8
THCA,0.976822295,338,512,9
THYM,0.99622549,339,119,5
UCEC,0.97880303,101,180,9
